2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124025 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124025_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124725 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124725_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124800 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124800_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124825 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124825_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124900 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124900_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124925 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124925_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125000 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125000_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125025 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125025_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125100 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125100_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125125 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125125_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125200 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125200_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125225 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125225_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125300 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125300_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125325 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125325_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125400 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125400_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_125425 for RPI3/gps: C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_125425_Hydro_6673.txt
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123600 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123600.wav
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123625 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123625.wav
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123700 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123700.wav
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123725 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123725.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123725 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_123725.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_123725_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123725 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_123725.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_123725_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123725 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123725.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_123725_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_123725
2026-06-13 16:59:03 | DEBUG | utils.math_worker | [CalculationWorker] Job enqueued: 20260520_123725; queue_size=1
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123800 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123800.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123800 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_123800.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_123800_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123800 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_123800.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_123800_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123800 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123800.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_123800_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_123800
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123825 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123825.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123825 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_123825.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_123825_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123825 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_123825.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_123825_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123825 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123825.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_123825_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_123825
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123900 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123900.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123900 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_123900.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_123900_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123900 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_123900.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_123900_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123900 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123900.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_123900_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_123900
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_123925 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123925.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123925 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_123925.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_123925_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123925 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_123925.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_123925_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_123925 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_123925.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_123925_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_123925
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124000 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124000.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124000 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124000.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124000_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124000 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124000.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124000_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124000 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124000.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124000_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124000
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124025 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124025.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124025 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124025.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124025_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124025 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124025.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124025_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124025 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124025.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124025_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124025
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124100 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124100.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124100 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124100.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124100_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124100 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124100.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124100_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124100 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124100.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124100_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124100
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124125 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124125.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124125 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124125.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124125_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124125 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124125.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124125_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124125 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124125.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124125_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124125
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124200 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124200.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124200 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124200.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124200_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124200 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124200.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124200_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124200 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124200.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124200_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124200
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124225 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124225.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124225 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124225.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124225_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124225 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124225.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124225_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124225 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124225.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124225_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124225
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124300 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124300.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124300 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124300.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124300_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124300 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124300.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124300_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124300 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124300.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124300_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124300
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124325 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124325.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124325 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124325.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124325_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124325 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124325.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124325_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124325 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124325.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124325_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124325
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124400 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124400.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124400 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124400.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124400_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124400 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124400.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124400_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124400 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124400.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124400_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124400
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124425 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124425.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124425 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124425.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124425_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124425 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124425.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124425_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124425 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124425.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124425_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124425
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124500 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124500.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124500 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124500.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124500_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124500 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124500.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124500_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124500 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124500.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124500_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124500
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124525 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124525.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124525 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124525.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124525_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124525 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124525.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124525_Hydro_2624.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124525 receiver RPI3: wav=C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124525.wav gps=C:\Pi_loc\20260520_Otter3\RPI3\gps\GPS_RPI3_20260520_124525_Hydro_6673.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job ready: 20260520_124525
2026-06-13 16:59:03 | DEBUG | model.models | [CalculationModel] Stored 20260520_124600 for RPI3/wav: C:\Pi_loc\20260520_Otter3\RPI3\streaming\RBW6673_20260520_124600.wav
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124600 receiver RPI1: wav=C:\Pi_loc\20260520_Otter3\RPI1\streaming\RBW6675_20260520_124600.wav gps=C:\Pi_loc\20260520_Otter3\RPI1\gps\GPS_RPI1_20260520_124600_Hydro_6675.txt
2026-06-13 16:59:03 | INFO | model.models | [CalculationModel] Job 20260520_124600 receiver RPI2: wav=C:\Pi_loc\20260520_Otter3\RPI2\streaming\SAW2624_20260520_124600.wav gps=C:\Pi_loc\20260520_Otter3\RPI2\gps\GPS_RPI2_20260520_124600_Hydro_2624.txt
